dsc_fonte,municipio_origem,cod_ibge_origem,uf_origem,municipio_destino,cod_ibge_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km,data_padronizada,local
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,11,510,"87,0","0,1706",11/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,PARANAGUÁ-PR                                      ,4118204,PR        ,2024,12,992,"168,0","0,1694",12/2024,PR        
PESQUISA                        ,ARAL MOREIRA-MS                                   ,5001243,MS        ,MARINGÁ-PR                                        ,4115200,PR        ,2024,12,510,"87,0","0,1706",12/2024,PR        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,TERESINA-PI                                       ,2211001,PI        ,2022,7,589,"180,0","0,3056",07/2022,PI        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2022,7,810,"288,25","0,3559",07/2022,MA        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2022,8,810,"304,0","0,3753",08/2022,MA        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,TERESINA-PI                                       ,2211001,PI        ,2022,8,589,"190,0","0,3226",08/2022,PI        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2022,9,810,"267,0","0,3296",09/2022,MA        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,TERESINA-PI                                       ,2211001,PI        ,2022,9,589,"195,0","0,3311",09/2022,PI        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2022,10,810,"295,62","0,365",10/2022,MA        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,TERESINA-PI                                       ,2211001,PI        ,2022,10,589,"175,0","0,2971",10/2022,PI        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,TERESINA-PI                                       ,2211001,PI        ,2022,11,589,"170,0","0,2886",11/2022,PI        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,SÃO LUÍS-MA                                       ,2111300,MA        ,2022,11,810,"288,0","0,3556",11/2022,MA        
PESQUISA                        ,BAIXA GRANDE DO RIBEIRO-PI                        ,2201150,PI        ,TERESINA-PI                                       ,2211001,PI        ,2022,12,589,"175,0","0,2971",12/2022,PI        
