municipio_origem,uf_origem,municipio_destino,uf_destino,ano,mes,distancia_km,valor_frete_tonelada,valor_tonelada_km
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Abril,589,"190,0","0,3226"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Abril,810,"242,0","0,2988"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Maio,810,"248,0","0,3062"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Maio,589,"175,0","0,2971"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Junho,589,"179,0","0,3047"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Junho,810,"264,0","0,3254"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Julho,810,"250,0","0,3086"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Julho,589,"175,0","0,2971"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Agosto,589,"185,0","0,3141"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Agosto,810,"268,0","0,3309"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Setembro,589,"235,0","0,399"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Setembro,810,"295,0","0,3642"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Outubro,589,"190,0","0,3226"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Outubro,810,"268,0","0,3309"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2023,Novembro,810,"240,0","0,2963"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2023,Novembro,589,"180,0","0,3056"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Janeiro,589,"165,0","0,2801"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Janeiro,810,"225,0","0,2778"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Fevereiro,810,"217,0","0,2679"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Fevereiro,589,"187,0","0,3175"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Março,810,"218,0","0,2691"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Março,589,"168,0","0,2852"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Abril,810,"210,0","0,2589"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Abril,589,"175,0","0,2971"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,SÃO LUÍS-MA                                       ,MA        ,2024,Maio,810,"228,0","0,2809"
BAIXA GRANDE DO RIBEIRO-PI                        ,PI        ,TERESINA-PI                                       ,PI        ,2024,Maio,589,"190,0","0,3226"
